,ms,distance
894,691789.0,894.0
895,692599.0,895.0
896,693344.0,896.0
897,694129.0,897.0
898,694964.0,898.0
899,695750.0,899.0
900,696514.0,900.0
901,697278.0,901.0
902,698000.0,902.0
903,698764.0,903.0
904,699530.0,904.0
905,700341.0,905.0
906,701149.0,906.0
907,701824.0,907.0
908,702478.0,908.0
909,703308.0,909.0
910,704072.0,910.0
911,704839.0,911.0
912,705558.0,912.0
913,706326.0,913.0
914,707043.0,914.0
915,707766.0,915.0
916,708530.0,916.0
917,709383.0,917.0
918,710102.0,918.0
919,710853.0,919.0
920,711612.0,920.0
921,712377.0,921.0
922,713209.0,922.0
923,713954.0,923.0
924,714783.0,924.0
925,715505.0,925.0
926,716248.0,926.0
927,717080.0,927.0
928,717799.0,928.0
929,718565.0,929.0
930,719327.0,930.0
931,720138.0,931.0
932,720857.0,932.0
933,721628.0,933.0
934,722434.0,934.0
935,723179.0,935.0
936,723962.0,936.0
937,724663.0,937.0
938,725473.0,938.0
939,726348.0,939.0
940,726981.0,940.0
941,727702.0,941.0
942,728470.0,942.0
943,729190.0,943.0
944,729951.0,944.0
945,730669.0,945.0
946,731371.0,946.0
947,732132.0,947.0
948,732833.0,948.0
949,733506.0,949.0
950,734316.0,950.0
951,735035.0,951.0
952,735753.0,952.0
953,736453.0,953.0
954,737129.0,954.0
955,737868.0,955.0
956,738590.0,956.0
957,739311.0,957.0
958,740079.0,958.0
959,740793.0,959.0
960,741494.0,960.0
961,742279.0,961.0
962,742999.0,962.0
963,743743.0,963.0
964,744530.0,964.0
965,745339.0,965.0
966,746057.0,966.0
967,746736.0,967.0
968,747568.0,968.0
969,748424.0,969.0
970,749343.0,970.0
971,750109.0,971.0
972,750919.0,972.0
973,751594.0,973.0
974,752314.0,974.0
975,753170.0,975.0
976,753934.0,976.0
977,754700.0,977.0
978,755462.0,978.0
979,756273.0,979.0
980,757061.0,980.0
981,757852.0,981.0
982,758592.0,982.0
983,759378.0,983.0
984,760145.0,984.0
985,760863.0,985.0
986,761720.0,986.0
987,762485.0,987.0
988,763294.0,988.0
989,764012.0,989.0
990,764824.0,990.0
991,765536.0,991.0
992,766273.0,992.0
993,767010.0,993.0
994,767863.0,994.0
995,768628.0,995.0
996,769392.0,996.0
997,770178.0,997.0
998,770922.0,998.0
999,771752.0,999.0
1000,772518.0,1000.0
1001,773373.0,1001.0
1002,774182.0,1002.0
1003,774973.0,1003.0
1004,775713.0,1004.0
1005,776550.0,1005.0
1006,777291.0,1006.0
1007,778079.0,1007.0
1008,778908.0,1008.0
1009,779673.0,1009.0
1010,780467.0,1010.0
1011,781247.0,1011.0
1012,782059.0,1012.0
1013,782873.0,1013.0
1014,783682.0,1014.0
